iter	Passed	Remaining
207	5052	19236
208	5073	19200
209	5101	19190
210	5131	19187
211	5169	19216
212	5211	19255
213	5231	19215
214	5247	19160
215	5268	19122
216	5289	19086
217	5310	19047
218	5336	19031
219	5363	19016
220	5392	19007
221	5416	18982
222	5435	18939
223	5450	18882
224	5471	18844
225	5488	18798
226	5504	18744
227	5531	18730
228	5560	18720
229	5588	18708
230	5616	18696
231	5636	18657
232	5651	18604
233	5672	18570
234	5689	18521
235	5705	18470
236	5721	18418
237	5744	18390
238	5778	18398
239	5802	18375
240	5837	18384
241	5866	18375
242	5895	18367
243	5917	18333
244	5944	18319
245	5981	18332
246	6020	18353
247	6047	18338
248	6077	18329
249	6094	18282
250	6119	18261
251	6134	18209
252	6163	18196
253	6188	18175
254	6219	18169
255	6281	18254
256	6312	18249
257	6327	18198
258	6350	18168
259	6371	18133
260	6401	18123
261	6439	18138
262	6465	18119
263	6507	18141
264	6530	18113
265	6549	18073
266	6566	18026
267	6591	18004
268	6616	17979
269	6646	17968
270	6671	17947
271	6698	17928
272	6713	17878
273	6731	17837
274	6751	17799
275	6768	17755
276	6787	17714
277	6812	17693
278	6842	17682
279	6868	17661
280	6893	17638
281	6927	17639
282	6947	17601
283	6964	17557
284	6980	17512
285	6995	17463
286	7013	17424
287	7044	17416
288	7077	17411
289	7106	17398
290	7137	17390
291	7158	17356
292	7175	17314
293	7192	17270
294	7207	17225
295	7237	17214
296	7264	17194
297	7315	17233
298	7348	17229
299	7370	17197
300	7385	17151
301	7400	17103
302	7415	17057
303	7437	17027
304	7465	17010
305	7492	16993
306	7519	16975
307	7551	16965
308	7570	16929
309	7586	16886
310	7603	16844
311	7620	16804
312	7642	16774
313	7668	16752
314	7692	16728
315	7721	16713
316	7749	16696
317	7769	16662
318	7797	16645
319	7826	16632
320	7870	16647
321	7894	16622
322	7922	16605
323	7950	16587
324	7977	16568
325	7994	16527
326	8025	16516
327	8040	16473
328	8056	16430
329	8091	16427
330	8134	16441
331	8168	16436
332	8196	16417
333	8229	16410
334	8245	16367
335	8267	16338
336	8291	16312
337	8333	16320
338	8365	16311
339	8392	16290
340	8422	16276
341	8441	16241
342	8457	16199
343	8472	16157
344	8489	16117
345	8519	16103
346	8546	16083
347	8582	16079
348	8617	16074
349	8647	16059
350	8665	16022
351	8681	15981
352	8705	15955
353	8735	15941
354	8764	15924
355	8792	15906
356	8828	15901
357	8845	15863
358	8868	15834
359	8889	15802
360	8922	15793
361	8954	15781
362	8985	15768
363	9018	15757
364	9043	15733
365	9061	15696
366	9076	15655
367	9090	15612
368	9111	15581
369	9140	15564
370	9182	15567
371	9232	15586
372	9256	15559
373	9278	15529
374	9296	15494
375	9320	15467
376	9340	15434
377	9365	15411
378	9398	15399
379	9427	15381
380	9504	15441
381	9542	15437
382	9650	15546
383	9715	15585
384	9764	15598
385	9806	15598
386	9831	15572
387	9875	15577
388	9907	15561
389	9926	15525
390	9942	15485
391	9983	15483
392	10023	15481
393	10057	15469
394	10095	15462
395	10123	15440
396	10139	15401
397	10159	15367
398	10195	15356
399	10232	15348
400	10269	15340
401	10303	15327
402	10340	15318
403	10369	15297
404	10402	15282
405	10438	15272
406	10476	15263
407	10511	15252
408	10559	15258
409	10585	15232
410	10606	15200
411	10640	15186
412	10679	15179
413	10719	15173
414	10766	15176
415	10802	15164
416	10841	15157
417	10876	15144
418	10921	15143
419	10954	15127
420	10985	15108
421	11012	15083
422	11039	15059
423	11068	15035
424	11095	15011
425	11130	14996
426	11174	14995
427	11210	14982
428	11236	14955
429	11284	14958
430	11315	14939
431	11346	14918
432	11385	14909
433	11418	14891
434	11447	14868
435	11473	14841
436	11505	14823
437	11531	14796
438	11559	14771
439	11586	14746
440	11614	14722
441	11633	14686
442	11649	14647
443	11674	14619
444	11691	14581
445	11711	14547
446	11737	14521
447	11770	14502
448	11797	14477
449	11823	14450
450	11847	14421
451	11869	14389
452	11886	14352
453	11909	14322
454	11955	14319
455	11987	14300
456	12025	14288
457	12063	14275
458	12086	14245
459	12104	14209
460	12119	14170
461	12137	14133
462	12170	14115
463	12197	14090
464	12225	14065
465	12256	14044
466	12286	14023
467	12314	13998
468	12332	13962
469	12355	13932
470	12378	13902
471	12406	13878
472	12432	13852
473	12464	13831
474	12494	13809
475	12514	13776
476	12535	13744
477	12558	13714
478	12578	13680
479	12610	13661
480	12654	13654
481	12685	13633
482	12709	13603
483	12730	13572
484	12749	13538
485	12787	13523
486	12817	13502
487	12847	13479
488	12874	13453
489	12911	13438
490	12932	13406
491	12951	13372
492	12968	13337
493	12986	13302
494	13022	13285
495	13051	13262
496	13085	13243
497	13115	13221
498	13146	13199
499	13164	13164
500	13182	13130
501	13201	13096
502	13226	13069
503	13258	13048
504	13284	13021
505	13316	13000
506	13345	12977
507	13371	12950
508	13387	12913
509	13405	12879
510	13425	12847
511	13454	12823
512	13479	12796
513	13506	12771
514	13533	12745
515	13560	12719
516	13580	12687
517	13596	12651
518	13617	12620
519	13633	12585
520	13649	12549
521	13675	12522
522	13704	12498
523	13731	12473
524	13756	12446
525	13783	12420
526	13808	12393
527	13825	12359
528	13841	12324
529	13856	12288
530	13873	12253
531	13911	12237
532	13938	12212
533	13963	12185
534	13988	12158
535	14017	12134
536	14037	12102
537	14053	12068
538	14069	12033
539	14098	12009
540	14130	11988
541	14155	11962
542	14182	11936
543	14214	11915
544	14233	11883
545	14249	11848
546	14265	11813
547	14280	11778
548	14303	11750
549	14338	11731
550	14364	11705
551	14390	11679
552	14419	11655
553	14444	11628
554	14463	11596
555	14490	11571
556	14524	11551
557	14568	11540
558	14607	11523
559	14651	11511
560	14690	11495
561	14717	11470
562	14750	11449
563	14781	11426
564	14809	11401
565	14835	11375
566	14863	11351
567	14901	11333
568	14925	11305
569	14958	11284
570	14992	11263
571	15028	11245
572	15069	11230
573	15120	11221
574	15151	11199
575	15194	11184
576	15221	11159
577	15247	11132
578	15273	11105
579	15303	11082
580	15322	11050
581	15338	11016
582	15354	10982
583	15372	10949
584	15390	10918
585	15417	10892
586	15443	10865
587	15470	10840
588	15498	10814
589	15537	10796
590	15563	10770
591	15593	10746
592	15610	10713
593	15632	10685
594	15668	10664
595	15704	10645
596	15733	10620
597	15761	10595
598	15785	10567
599	15802	10535
600	15818	10501
601	15835	10469
602	15861	10442
603	15890	10418
604	15915	10391
605	15945	10367
606	15992	10354
607	16021	10329
608	16060	10311
609	16096	10291
610	16129	10268
611	16180	10257
612	16222	10241
613	16253	10217
614	16287	10196
615	16312	10168
616	16337	10141
617	16366	10116
618	16393	10090
619	16416	10061
620	16432	10029
621	16448	9996
622	16478	9971
623	16521	9955
624	16548	9928
625	16577	9904
626	16603	9877
627	16632	9852
628	16654	9823
629	16674	9792
630	16690	9760
631	16706	9727
632	16725	9696
633	16754	9672
634	16781	9646
635	16807	9619
636	16832	9592
637	16866	9570
638	16888	9540
639	16903	9508
640	16920	9476
641	16950	9452
642	16983	9429
643	17008	9402
644	17033	9374
645	17063	9350
646	17086	9322
647	17101	9289
648	17118	9258
649	17137	9227
650	17178	9209
651	17212	9186
652	17246	9164
653	17273	9138
654	17301	9113
655	17326	9085
656	17344	9055
657	17363	9024
658	17383	8994
659	17409	8968
660	17440	8944
661	17477	8923
662	17508	8899
663	17532	8872
664	17556	8844
665	17574	8813
666	17596	8785
667	17622	8758
668	17652	8734
669	17678	8707
670	17712	8684
671	17742	8660
672	17761	8629
673	17777	8598
674	17793	8567
675	17819	8540
676	17849	8516
677	17874	8489
678	17898	8461
679	17923	8434
680	17977	8420
681	18002	8394
682	18028	8367
683	18059	8343
684	18086	8316
685	18114	8291
686	18141	8265
687	18170	8239
688	18188	8209
689	18204	8179
690	18220	8147
691	18248	8121
692	18273	8095
693	18298	8068
694	18323	8041
695	18351	8015
696	18377	7989
697	18396	7959
698	18412	7928
699	18436	7901
700	18473	7879
701	18503	7854
702	18532	7829
703	18559	7803
704	18585	7776
705	18623	7755
706	18654	7730
707	18685	7706
708	18716	7682
709	18760	7662
710	18793	7638
711	18831	7617
712	18872	7596
713	18904	7572
714	18934	7547
715	18960	7520
716	18993	7496
717	19027	7473
718	19063	7450
719	19090	7424
720	19130	7402
721	19171	7381
722	19205	7358
723	19234	7332
724	19261	7305
725	19287	7279
726	19306	7249
727	19329	7222
728	19354	7194
729	19378	7167
730	19404	7140
731	19430	7113
732	19456	7087
733	19489	7063
734	19508	7033
735	19528	7004
736	19553	6977
737	19579	6950
738	19607	6925
739	19633	6898
740	19660	6871
741	19686	6845
742	19704	6815
743	19723	6786
744	19749	6759
745	19774	6732
746	19803	6707
747	19829	6680
748	19854	6653
749	19881	6627
750	19904	6599
751	19923	6570
752	19939	6540
753	19961	6512
754	19997	6489
755	20029	6464
756	20054	6437
757	20079	6410
758	20110	6385
759	20127	6356
760	20143	6326
761	20158	6296
762	20189	6271
763	20242	6252
764	20281	6230
765	20322	6208
766	20353	6183
767	20383	6157
768	20417	6133
769	20445	6107
770	20476	6081
771	20526	6062
772	20555	6036
773	20582	6009
774	20622	5987
775	20648	5960
776	20671	5932
777	20700	5906
778	20726	5880
779	20752	5853
780	20768	5823
781	20789	5795
782	20817	5769
783	20842	5742
784	20867	5715
785	20896	5689
786	20922	5662
787	20948	5635
788	20964	5606
789	20982	5577
790	21010	5551
791	21036	5524
792	21062	5497
793	21090	5471
794	21115	5444
795	21140	5417
796	21165	5390
797	21183	5362
798	21200	5333
799	21236	5309
800	21269	5284
801	21311	5261
802	21338	5234
803	21366	5208
804	21414	5187
805	21453	5163
806	21490	5139
807	21529	5116
808	21554	5088
809	21584	5063
810	21608	5035
811	21628	5007
812	21644	4978
813	21668	4951
814	21701	4926
815	21726	4899
816	21750	4871
817	21779	4845
818	21809	4819
819	21830	4792
820	21845	4762
821	21861	4734
822	21894	4708
823	21920	4681
824	21946	4655
825	21974	4629
826	22001	4602
827	22029	4576
828	22049	4548
829	22067	4519
830	22088	4492
831	22114	4465
832	22141	4439
833	22169	4412
834	22197	4386
835	22228	4360
836	22254	4333
837	22277	4306
838	22294	4278
839	22310	4249
840	22337	4223
841	22366	4196
842	22394	4170
843	22420	4143
844	22444	4117
845	22474	4091
846	22494	4063
847	22510	4034
848	22526	4006
849	22548	3979
850	22578	3953
851	22603	3926
852	22629	3899
853	22664	3874
854	22691	3848
855	22714	3821
856	22731	3792
857	22750	3765
858	22781	3739
859	22805	3712
860	22829	3685
861	22858	3659
862	22889	3633
863	22916	3607
864	22935	3579
865	22962	3553
866	22988	3526
867	23014	3499
868	23039	3473
869	23069	3447
870	23095	3420
871	23119	3393
872	23142	3366
873	23163	3339
874	23197	3313
875	23233	3288
876	23264	3262
877	23299	3237
878	23325	3210
879	23349	3184
880	23376	3157
881	23402	3130
882	23427	3104
883	23457	3078
884	23484	3051
885	23510	3025
886	23536	2998
887	23557	2971
888	23574	2943
889	23602	2917
890	23629	2890
891	23671	2866
892	23719	2842
893	23762	2817
894	23786	2790
895	23807	2763
896	23833	2736
897	23861	2710
898	23887	2683
899	23913	2657
900	23945	2631
901	23975	2604
902	23991	2577
903	24010	2549
904	24055	2525
905	24085	2498
906	24113	2472
907	24142	2446
908	24169	2419
909	24192	2392
910	24208	2365
911	24246	2339
912	24270	2312
913	24295	2286
914	24322	2259
915	24351	2233
916	24378	2206
917	24397	2179
918	24420	2152
919	24453	2126
920	24480	2099
921	24520	2074
922	24562	2049
923	24601	2023
924	24663	1999
925	24700	1973
926	24737	1948
927	24773	1922
928	24802	1895
929	24834	1869
930	24857	1842
931	24883	1815
932	24909	1788
933	24952	1763
934	24985	1736
935	25030	1711
936	25071	1685
937	25098	1658
938	25130	1632
939	25173	1606
940	25202	1580
941	25239	1554
942	25265	1527
943	25285	1499
944	25305	1472
945	25338	1446
946	25364	1419
947	25403	1393
948	25476	1369
949	25532	1343
950	25558	1316
951	25583	1289
952	25611	1263
953	25640	1236
954	25666	1209
955	25691	1182
956	25711	1155
957	25728	1127
958	25754	1101
959	25780	1074
960	25808	1047
961	25835	1020
962	25860	993
963	25886	966
964	25915	939
965	25934	912
966	25949	885
967	25974	858
968	26003	831
969	26033	805
970	26058	778
971	26085	751
972	26114	724
973	26137	697
974	26153	670
975	26167	643
976	26195	616
977	26223	589
978	26258	563
979	26284	536
980	26314	509
981	26343	482
982	26364	455
983	26380	428
984	26406	402
985	26432	375
986	26457	348
987	26483	321
988	26513	294
989	26540	268
990	26567	241
991	26589	214
992	26611	187
993	26636	160
994	26661	133
995	26687	107
996	26714	80
997	26740	53
998	26767	26
999	26791	0
