iter	Logloss
0	0.6796317808
1	0.6654787936
2	0.6535615482
3	0.6417278445
4	0.6306413456
5	0.6202909116
6	0.6117645773
7	0.6030334735
8	0.5949050232
9	0.5870316593
10	0.580882643
11	0.5740989141
12	0.5689179692
13	0.56355464
14	0.5584483295
15	0.5537179733
16	0.5493122539
17	0.545574117
18	0.5419790766
19	0.5385342479
20	0.5351515346
21	0.5321853053
22	0.5293250278
23	0.5265642327
24	0.5242920479
25	0.5217974312
26	0.5196327045
27	0.5176131966
28	0.5155950182
29	0.5135171656
30	0.5116442185
31	0.5102237297
32	0.5083632268
33	0.5070096429
34	0.5054304994
35	0.5038679998
36	0.5023837313
37	0.501111816
38	0.4999483784
39	0.4987508393
40	0.497486029
41	0.4964829666
42	0.4953493526
43	0.4942824296
44	0.4932162243
45	0.4921081791
46	0.4913318763
47	0.490465654
48	0.4896116332
49	0.4888406245
50	0.4881496448
51	0.4874227772
52	0.4867475508
53	0.4860024756
54	0.4852624968
55	0.484553541
56	0.4838713176
57	0.4833662233
58	0.4826557937
59	0.4819888933
60	0.4814329469
61	0.4808029144
62	0.4802762315
63	0.4797969911
64	0.479161222
65	0.4785586942
66	0.4781584829
67	0.4775696612
68	0.4770934232
69	0.4766492735
70	0.4761361584
71	0.4757051952
72	0.4751886461
73	0.4746884444
74	0.4741567422
75	0.4737101056
76	0.4732896452
77	0.4728679614
78	0.4724760336
79	0.4720943897
80	0.4717024274
81	0.4712503383
82	0.4709078623
83	0.4705395272
84	0.470150235
85	0.4698578151
86	0.4694390944
87	0.469082385
88	0.4687189617
89	0.4684263093
90	0.4681607956
91	0.4677885495
92	0.4674909154
93	0.4672173746
94	0.4669500738
95	0.466654345
96	0.4662494797
97	0.4659363902
98	0.4656308204
99	0.4653802597
100	0.465118067
101	0.4648571278
102	0.4646215013
103	0.4643066312
104	0.4640649249
105	0.4638059265
106	0.4635970411
107	0.4633651233
108	0.4630263568
109	0.4628147548
110	0.4625586079
111	0.4622921096
112	0.461920218
113	0.4617148823
114	0.4615154026
115	0.4612146153
116	0.4609596364
117	0.4606482458
118	0.4604244108
119	0.4602401649
120	0.4600590748
121	0.4597786052
122	0.4595434464
123	0.459281004
124	0.4591038908
125	0.458884119
126	0.4586644331
127	0.4584411062
128	0.4582092464
129	0.4579511555
130	0.4577012082
131	0.4574277159
132	0.457231474
133	0.4570313901
134	0.4568773172
135	0.4566412362
136	0.4564941773
137	0.4562641388
138	0.4560326392
139	0.4558280257
140	0.4555648905
141	0.4554177565
142	0.4552481599
143	0.4550308099
144	0.4548337963
145	0.45463259
146	0.4544445163
147	0.4542903801
148	0.4540838145
149	0.453862953
150	0.4536638759
151	0.4534059017
152	0.4532640968
153	0.4530817132
154	0.4528693869
155	0.4527112085
156	0.4525632338
157	0.4523557626
158	0.4521514349
159	0.4519846855
160	0.4518598647
161	0.4517023844
162	0.4515352753
163	0.451333534
164	0.4510460275
165	0.4509023461
166	0.4507460419
167	0.4506632662
168	0.450500932
169	0.450377971
170	0.4501722257
171	0.4500738543
172	0.4499277098
173	0.4498037551
174	0.4496505268
175	0.4495312002
176	0.4493580697
177	0.4491822826
178	0.449054708
179	0.4488766069
180	0.448693903
181	0.4485478976
182	0.4483416444
183	0.4482156847
184	0.4480629862
185	0.4479058705
186	0.4477220615
187	0.4475744973
188	0.4473782818
189	0.4472003302
190	0.4470375899
191	0.4469095678
192	0.4467695436
193	0.4466018247
194	0.4464937266
195	0.4463618363
196	0.4462462838
197	0.4460946005
198	0.4459412955
199	0.4457737047
200	0.4456752166
201	0.4454869892
202	0.4453015757
203	0.4451698974
204	0.4449922459
205	0.4448162219
206	0.4446588058
207	0.4445323926
208	0.4443970499
209	0.4442273344
210	0.4440814854
211	0.4439596613
212	0.4438444575
213	0.4437216371
214	0.4435490795
215	0.4434280292
216	0.4432782111
217	0.4431408047
218	0.4429708981
219	0.442838091
220	0.442665924
221	0.4424959855
222	0.4423513216
223	0.4422663548
224	0.4420932353
225	0.4419505095
226	0.441795826
227	0.4416849647
228	0.4415066296
229	0.4413737959
230	0.441221765
231	0.4410680264
232	0.4409259646
233	0.4407909804
234	0.4406789476
235	0.4405154408
236	0.4403656906
237	0.4401817692
238	0.4399778702
239	0.4398765611
240	0.4397335488
241	0.439577993
242	0.4394924836
243	0.4393270954
244	0.4391746747
245	0.4390040305
246	0.4387896981
247	0.4386580432
248	0.4385637698
249	0.4383969548
250	0.4382525094
251	0.4381513957
252	0.4380089005
253	0.4378759224
254	0.4376524201
255	0.4375317029
256	0.4373806428
257	0.4372583773
258	0.4371345058
259	0.4370178856
260	0.4369042048
261	0.4367734787
262	0.4366097745
263	0.4364362887
264	0.4363427426
265	0.4362610816
266	0.4361413829
267	0.4360534635
268	0.4359218707
269	0.4357575427
270	0.4356435881
271	0.4355009606
272	0.4354020472
273	0.4352390568
274	0.4350987006
275	0.4349335936
276	0.4347789495
277	0.4346788221
278	0.4345223302
279	0.4343082188
280	0.4341304559
281	0.4339804378
282	0.433847658
283	0.4337368763
284	0.4335473493
285	0.4334335144
286	0.4332730496
287	0.4331362452
288	0.4329711596
289	0.4328564308
290	0.4327156667
291	0.4325907488
292	0.432411187
293	0.4322396264
294	0.4321113395
295	0.4320048649
296	0.4318840026
297	0.4317537962
298	0.4316263035
299	0.4314824373
300	0.4313446612
301	0.4312115615
302	0.4310852583
303	0.4309027555
304	0.4307455693
305	0.4306138393
306	0.4304485498
307	0.4302859805
308	0.4301411533
309	0.4299739113
310	0.4298306882
311	0.4297142807
312	0.4295758087
313	0.4294052638
314	0.4292220236
315	0.4290972327
316	0.4289392751
317	0.4288298966
318	0.4286930905
319	0.4285167596
320	0.4283200642
321	0.4281667158
322	0.4279928033
323	0.427868556
324	0.4277313172
325	0.4275184267
326	0.4274331462
327	0.4273008624
328	0.4271574262
329	0.4270056113
330	0.4268762318
331	0.4267248516
332	0.426541152
333	0.4263694374
334	0.4262229511
335	0.4260744291
336	0.4259229411
337	0.4258009944
338	0.4256486224
339	0.4254506358
340	0.4253251446
341	0.4252103756
342	0.4250822349
343	0.4249465075
344	0.4247558285
345	0.4246230899
346	0.4244759334
347	0.4243119956
348	0.424153436
349	0.4240223274
350	0.4238876674
351	0.4237458514
352	0.4236190909
353	0.4234752875
354	0.4233096073
355	0.4231873227
356	0.4230645383
357	0.4229649547
358	0.4228276895
359	0.4227185646
360	0.4225565858
361	0.4223911794
362	0.4222620916
363	0.4221390097
364	0.4220275316
365	0.4218695595
366	0.421734047
367	0.4216130246
368	0.421491266
369	0.4213295711
370	0.421209114
371	0.4210634586
372	0.4209537561
373	0.4207920379
374	0.4206635465
375	0.4205439949
376	0.4204262609
377	0.4203149634
378	0.4201504139
379	0.4200070404
380	0.4199046753
381	0.4197591915
382	0.4196310341
383	0.4195105541
384	0.4193865369
385	0.4192395984
386	0.4191043535
387	0.4189843155
388	0.41886461
389	0.4187468545
390	0.4186384614
391	0.4184703381
392	0.4183602761
393	0.4182472838
394	0.4180985381
395	0.4179292052
396	0.4178076458
397	0.4176701077
398	0.417542215
399	0.4174108744
400	0.4172818498
401	0.4171322995
402	0.4170101163
403	0.4169136944
404	0.4168015228
405	0.4166233749
406	0.4165083746
407	0.4163958454
408	0.4162421436
409	0.4160638377
410	0.4159816156
411	0.4158859933
412	0.4157763268
413	0.4156579322
414	0.4155448489
415	0.4153911039
416	0.4152603754
417	0.4151119739
418	0.4149918972
419	0.4148682307
420	0.4147215849
421	0.4146125404
422	0.4144986698
423	0.4143498583
424	0.4142530167
425	0.4141683904
426	0.4140224192
427	0.4138775351
428	0.4137396426
429	0.4135983029
430	0.4134654631
431	0.4133348435
432	0.4132017655
433	0.4130374029
434	0.4128888508
435	0.4127172249
436	0.412573023
437	0.4124071156
438	0.4122673866
439	0.4121598963
440	0.4120796281
441	0.4119693728
442	0.4118387881
443	0.4117476527
444	0.4116198382
445	0.4114787163
446	0.4113363506
447	0.4112399438
448	0.4111106325
449	0.4110079612
450	0.4108940123
451	0.4108050424
452	0.410693233
453	0.4105527669
454	0.4104307271
455	0.4103315031
456	0.4102308435
457	0.4101101142
458	0.410023007
459	0.4098827993
460	0.4097308933
461	0.4095987561
462	0.4094410404
463	0.4093432699
464	0.4092115719
465	0.4091023622
466	0.4089448641
467	0.4088500532
468	0.4087266635
469	0.4086048186
470	0.4084524207
471	0.4082966655
472	0.4082177777
473	0.4080801248
474	0.4079673027
475	0.4078847542
476	0.40775163
477	0.4076674271
478	0.4075254479
479	0.4074313206
480	0.4072878742
481	0.4071755989
482	0.407066567
483	0.4069362298
484	0.4067713995
485	0.4066599736
486	0.4065464142
487	0.4064270918
488	0.4062825736
489	0.4061643174
490	0.4060486352
491	0.4059552719
492	0.4058054355
493	0.4056757076
494	0.4055859709
495	0.4054377336
496	0.4053172836
497	0.4051818128
498	0.4050825841
499	0.4049894042
500	0.4049110215
501	0.4047774069
502	0.4046388201
503	0.4044792783
504	0.4043966018
505	0.4043048668
506	0.4041686011
507	0.404058306
508	0.403936507
509	0.4038503713
510	0.4037681462
511	0.4036508259
512	0.4035398953
513	0.403415187
514	0.4033314821
515	0.4031949186
516	0.403096951
517	0.4029782524
518	0.4028649612
519	0.4027413668
520	0.402617554
521	0.4024759691
522	0.4023425417
523	0.402264176
524	0.402146947
525	0.4020267801
526	0.4019193277
527	0.4017879261
528	0.4016744505
529	0.401563854
530	0.401429216
531	0.4012688959
532	0.4011628881
533	0.4010182764
534	0.4009134891
535	0.4007818406
536	0.4006596246
537	0.4005727619
538	0.4004559772
539	0.4003143041
540	0.4001620703
541	0.4000660961
542	0.3999718023
543	0.3998740839
544	0.3997631472
545	0.3996643315
546	0.3995486095
547	0.3994556454
548	0.399341526
549	0.3992653002
550	0.3991285014
551	0.3990589304
552	0.3989237074
553	0.3988090216
554	0.3986940192
555	0.3985802583
556	0.3984725991
557	0.3983415189
558	0.3982121126
559	0.3980660127
560	0.3979638878
561	0.3978845696
562	0.3977769363
563	0.3976930158
564	0.3975726416
565	0.3974419525
566	0.3973116327
567	0.3971632102
568	0.3970790429
569	0.3969513005
570	0.396843599
571	0.3967676954
572	0.39668233
573	0.3965485876
574	0.3964463728
575	0.396341214
576	0.3962256558
577	0.3961323233
578	0.3960186419
579	0.3959265143
580	0.3958094238
581	0.3957026151
582	0.3955831054
583	0.39546084
584	0.3953505342
585	0.3952443102
586	0.3951048937
587	0.3949726157
588	0.3948560092
589	0.3947513436
590	0.3946650373
591	0.3945623216
592	0.3944472773
593	0.3943566364
594	0.3942094617
595	0.3941415478
596	0.3940527273
597	0.3939311992
598	0.3938393042
599	0.3937508081
600	0.3936571531
601	0.3935744147
602	0.3934827794
603	0.3933470601
604	0.3932561053
605	0.3931430338
606	0.3930177138
607	0.392869234
608	0.3927872907
609	0.3927122793
610	0.3925873731
611	0.3925113571
612	0.3924021951
613	0.3923224938
614	0.392209813
615	0.392052417
616	0.3919334635
617	0.3918183092
618	0.3917216848
619	0.3915983642
620	0.391522943
621	0.3913529606
622	0.3912789389
623	0.391150794
624	0.3910630732
625	0.3909472776
626	0.3908345659
627	0.3907049857
628	0.3905531872
629	0.3904496213
630	0.3903466001
631	0.390225744
632	0.3901034743
633	0.3900409868
634	0.3899271652
635	0.3898222153
636	0.3897274126
637	0.3896656821
638	0.3895591045
639	0.3894393924
640	0.3892871783
641	0.3891656707
642	0.3891098651
643	0.3890221308
644	0.3889020669
645	0.3888022211
646	0.388666224
647	0.3885905105
648	0.388483218
649	0.3883367308
650	0.3882068185
651	0.3880910321
652	0.3879963425
653	0.3878723257
654	0.3877445425
655	0.3876614287
656	0.3875823889
657	0.3874814995
658	0.3873550662
659	0.3872739141
660	0.3871636039
661	0.3870818811
662	0.387002713
663	0.3869298569
664	0.3868388668
665	0.3867529863
666	0.3866236058
667	0.3865144698
668	0.3863869074
669	0.3862844034
670	0.3861673121
671	0.3860745534
672	0.3859469218
673	0.3858339399
674	0.3857501725
675	0.3856545617
676	0.3855544014
677	0.3854610846
678	0.3853879896
679	0.3853105096
680	0.385227691
681	0.3851280798
682	0.3850565132
683	0.3849442481
684	0.3847742781
685	0.3847102356
686	0.3845812689
687	0.384471443
688	0.3843838197
689	0.3842546297
690	0.38417136
691	0.3840573446
692	0.3839337939
693	0.3838788159
694	0.3837850016
695	0.3836935748
696	0.3835900343
697	0.3834835018
698	0.3833362336
699	0.3832232601
700	0.3831080039
701	0.3829963903
702	0.3828832462
703	0.3827808711
704	0.3826665372
705	0.3825524842
706	0.3824522926
707	0.3822994392
708	0.3821780806
709	0.3820558242
710	0.3819458376
711	0.3818064542
712	0.3817065629
713	0.3816021237
714	0.3815350631
715	0.3814621915
716	0.3813834021
717	0.3812967999
718	0.3811641905
719	0.381070779
720	0.3810189065
721	0.3809294337
722	0.3808251788
723	0.3807586218
724	0.3806245622
725	0.3805023542
726	0.3803998185
727	0.3802840214
728	0.3802139957
729	0.3800988301
730	0.3800038183
731	0.379904757
732	0.379795103
733	0.3796959372
734	0.3795966412
735	0.3794948948
736	0.379362882
737	0.3792473542
738	0.3791393155
739	0.3790429988
740	0.3789218624
741	0.3787839684
742	0.3787108047
743	0.3785935919
744	0.3784845172
745	0.3784238087
746	0.3783410668
747	0.3782498376
748	0.378150912
749	0.3780587762
750	0.3779302421
751	0.3778268473
752	0.3777266502
753	0.3776010712
754	0.3774922423
755	0.3773485376
756	0.3772649847
757	0.377133885
758	0.377024117
759	0.3769536554
760	0.3768581978
761	0.3767707836
762	0.3766385712
763	0.3765307505
764	0.3764066673
765	0.3763263732
766	0.3762428763
767	0.3761766694
768	0.3760641964
769	0.375996921
770	0.3758967047
771	0.3758086125
772	0.3757129538
773	0.375634487
774	0.3755098338
775	0.3754151921
776	0.375348348
777	0.3752902065
778	0.375178517
779	0.3751065827
780	0.375007413
781	0.3749158583
782	0.3747832351
783	0.3746792211
784	0.3745851063
785	0.3744222056
786	0.3743198902
787	0.3741823248
788	0.3740700722
789	0.3739942752
790	0.3739258925
791	0.3738312535
792	0.3737198153
793	0.3736394775
794	0.3735469579
795	0.3734808494
796	0.3733814582
797	0.373277671
798	0.3732038101
799	0.3731216094
800	0.3730648473
801	0.3729374994
802	0.3728319773
803	0.372778264
804	0.3726871539
805	0.3725836014
806	0.3724768338
807	0.3723878997
808	0.3722973044
809	0.3722441419
810	0.3721385397
811	0.372070404
812	0.3719659367
813	0.3718583002
814	0.3717502265
815	0.3716505264
816	0.3715929499
817	0.3715411218
818	0.3714266546
819	0.3713083728
820	0.3712492038
821	0.3711689589
822	0.3710536502
823	0.3709886565
824	0.3708613221
825	0.3707607495
826	0.3706556282
827	0.3705542095
828	0.3704574682
829	0.3703249501
830	0.3702360372
831	0.3701510223
832	0.3700673847
833	0.3699564523
834	0.3698308619
835	0.3697407763
836	0.3696346149
837	0.3695365973
838	0.3694195137
839	0.3693410045
840	0.3692549265
841	0.3691678831
842	0.369050696
843	0.3689654908
844	0.3688919448
845	0.368797072
846	0.3687036772
847	0.3686116914
848	0.3685165213
849	0.3684227511
850	0.3683192608
851	0.3682214148
852	0.3681297713
853	0.3680636294
854	0.3679957712
855	0.3679109598
856	0.3677825848
857	0.3676942888
858	0.3675759051
859	0.3675084514
860	0.3674404367
861	0.3673618612
862	0.3672506239
863	0.3671356731
864	0.3670598544
865	0.3669975776
866	0.3669161169
867	0.3668583822
868	0.3667686441
869	0.3666994653
870	0.3666439346
871	0.3665268503
872	0.3664349814
873	0.3663032549
874	0.3661881104
875	0.366097338
876	0.3659626424
877	0.3658589591
878	0.3657400587
879	0.3656542973
880	0.3656071642
881	0.3655294015
882	0.3654612334
883	0.3653655478
884	0.3652616617
885	0.3651550797
886	0.3650902952
887	0.3649759737
888	0.3648921826
889	0.3647863507
890	0.3646868588
891	0.3646506329
892	0.3645557476
893	0.364423727
894	0.3643270612
895	0.3642067768
896	0.3641543989
897	0.3640403966
898	0.3639771681
899	0.3638953103
900	0.3637876214
901	0.3637148003
902	0.3636367661
903	0.3635497679
904	0.3634786872
905	0.3633798477
906	0.3632884024
907	0.3631844249
908	0.3630982616
909	0.3630337618
910	0.3629511421
911	0.3628454747
912	0.362776645
913	0.3626832133
914	0.3625779013
915	0.3624974787
916	0.3623942476
917	0.362299192
918	0.3622197485
919	0.3621505884
920	0.3620481565
921	0.362003783
922	0.3619059774
923	0.3618410262
924	0.3617008704
925	0.3616063869
926	0.3614988481
927	0.3614209991
928	0.3613506142
929	0.3612830067
930	0.3611831167
931	0.3610987689
932	0.3609989232
933	0.3609368553
934	0.3608449448
935	0.3607454202
936	0.3606867413
937	0.3606181203
938	0.3605378996
939	0.3604654202
940	0.360358147
941	0.3602804418
942	0.3602121957
943	0.3601330728
944	0.360050518
945	0.3599798176
946	0.3598943262
947	0.3598142715
